DESARROLLADORA,PROYECTO,N INMUEBLE,MODELO,AREA TOTAL,QUE FALTA
GRUPO LAR,DISTRITO 34,503,B-503,68.07,dormitorios
GRUPO LAR,DISTRITO 34,1804,B-1804,54.82,dormitorios; vista
AMMA,TORRE MARSANO 28,909,X09,2026-09-26 00:00:00,area
GRUPO LAR,DISTRITO 34,907,B-907,68.07,dormitorios
GRUPO LAR,DISTRITO 34,1107,B-1107,68.07,dormitorios
MARCAN,TIME ARAMBURÚ,215,OFICINA,2026-02-27 00:00:00,area
AMMA,TORRE MARSANO 28,1109,X09,2026-09-26 00:00:00,area
GRUPO LAR,DISTRITO 34,507,B-507,68.07,dormitorios
AMMA,TORRE MARSANO 28,809,X09,2026-09-26 00:00:00,area
GRUPO LAR,DISTRITO 34,803,B-803,68.07,dormitorios
GRUPO LAR,DISTRITO 34,501,B-501,52.77,dormitorios
GRUPO LAR,DISTRITO 34,301,B-301,52.77,dormitorios
MARCAN,TIME ARAMBURÚ,201,OFICINA,2026-01-28 00:00:00,area
MARCAN,TIME ARAMBURÚ,216,OFICINA,2026-01-28 00:00:00,area
AMMA,TORRE MARSANO 28,1009,X09,2026-09-26 00:00:00,area
GRUPO LAR,DISTRITO 34,401,B-401,52.77,dormitorios
AMMA,TORRE MARSANO 28,1309,X09,2026-09-26 00:00:00,area
INMGENIO,INGREEN,501,TIPO X01,107.99,dormitorios
INMGENIO,INGREEN,201,TIPO X01,107.99,dormitorios
INMGENIO,INGREEN,605,TIPO X05,150.32,dormitorios
INMGENIO,INGREEN,603,TIPO X03,169.02,dormitorios
INMGENIO,INGREEN,202,TIPO X02,108.03,dormitorios
INMGENIO,INGREEN,205,TIPO X05,80.02,dormitorios
INMGENIO,INGREEN,203,TIPO X03,108.1,dormitorios
INMGENIO,INGREEN,503,TIPO X03,108.1,dormitorios
INMGENIO,INGREEN,502,TIPO X02,108.03,dormitorios
INMGENIO,INGREEN,604,TIPO X04,137.21,dormitorios
INMGENIO,INGREEN,403,TIPO X03,108.1,dormitorios
INMGENIO,INGREEN,1,TIPO X01,144.37,dormitorios
GRUPO T&C,COSTANOVA,1801,TIPO 1 (201-2201),2026-12-27 00:00:00,area
IMAGINA,CONCEPTO OCEAN BREATH,1405,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1706,DPTO 206 AL 2106,65.53,dormitorios
GRUPO T&C,COSTANOVA,301,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO MG,ALBORADA I - A,206,X06,69,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2106,DPTO 206 AL 2106,65.53,dormitorios
GRUPO T&C,COSTANOVA,1701,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO MG,LUMA - A,407,X07,63.04,dormitorios
GRUPO MG,LUMA - A,404,X04,55.79,dormitorios
GRUPO MG,LUMA - A,213,X13,52.46,dormitorios
GRUPO MG,LUMA - A,110,X10,40.3,dormitorios
GRUPO MG,LUMA - A,105,X05,49.75,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1905,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2105,DPTO 205 AL 2105,61.16,dormitorios
GRUPO T&C,COSTANOVA,1001,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO T&C,COSTANOVA,401,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO T&C,COSTANOVA,701,TIPO 1 (201-2201),2026-12-27 00:00:00,area
IMAGINA,CONCEPTO OCEAN BREATH,1502,DPTO 202 AL 2102,61.16,dormitorios
URBANA,ALLEGRO,605,,63.4,vista
IMAGINA,CONCEPTO OCEAN BREATH,1906,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,305,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,401,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,FAMILY TOO,2205,DPTO 905.1005.1905.2105.2205,66.75,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,901,DPTO 201 AL 2101,65.53,dormitorios
GRUPO T&C,COSTANOVA,1519,TIPO 19 (219-2219),2026-08-23 00:00:00,area
IMAGINA,CONCEPTO OCEAN BREATH,801,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2002,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1901,DPTO 201 AL 2101,65.53,dormitorios
GRUPO MG,LUMA - A,612,X12,50.81,dormitorios
GRUPO MG,LUMA - A,506,X06,53.05,dormitorios
GRUPO MG,LUMA - A,405,X05,55.66,dormitorios
GRUPO MG,LUMA - A,312,X12,50.81,dormitorios
GRUPO MG,LUMA - A,304,X04,55.79,dormitorios
GRUPO MG,LUMA - A,205,X05,55.27,dormitorios
GRUPO MG,LUMA - A,107,X07,51.4,dormitorios
GRUPO MG,LUMA - A,605,X05,55.66,dormitorios
GRUPO MG,LUMA - A,510,X10,51.07,dormitorios
CÁDIZ INMOBILIARIA,VIGO,703,X03,2026-05-30 00:00:00,area
GRUPO MG,LUMA - A,511,X11,51.03,dormitorios
GRUPO MG,LUMA - A,504,X04,55.79,dormitorios
GRUPO MG,LUMA - A,507,X07,63.04,dormitorios
GRUPO MG,LUMA - A,505,X05,55.66,dormitorios
GRUPO MG,LUMA - A,416,X16,50.96,dormitorios
URBANA,ALLEGRO,101,,62.49,vista
CÁDIZ INMOBILIARIA,VIGO,903,X03,2026-05-30 00:00:00,area
GRUPO MG,LUMA - A,611,X11,51.03,dormitorios
URBANA,ALLEGRO,901,,62.49,vista
GRUPO MG,ALBORADA II,1613,X13,65,dormitorios
GRUPO MG,ALBORADA I - A,1204,X04,76,dormitorios
GRUPO MG,ALBORADA I - A,102,X02,72,dormitorios
CÁDIZ INMOBILIARIA,VIGO,1103,X03,2026-05-30 00:00:00,area
GRUPO MG,ALBORADA I - A,202,X02,76.6,dormitorios
GRUPO T&C,COSTANOVA,1101,TIPO 1 (201-2201),2026-12-27 00:00:00,area
IMAGINA,CONCEPTO OCEAN BREATH,1201,DPTO 201 AL 2101,65.53,dormitorios
GRUPO MG,ALBORADA II,108,X08,65.3,dormitorios
GRUPO T&C,COSTANOVA,1601,TIPO 1 (201-2201),2026-12-27 00:00:00,area
ALBAMAR,MATCH,703,B,69.79,dormitorios
GRUPO T&C,COSTANOVA,1501,TIPO 1 (201-2201),2026-12-27 00:00:00,area
IMAGINA,CONCEPTO OCEAN BREATH,1806,DPTO 206 AL 2106,65.53,dormitorios
GRUPO MG,LUMA - A,606,X06,53.05,dormitorios
GRUPO T&C,COSTANOVA,2201,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO MG,LUMA - A,514,X14,52.46,dormitorios
GRUPO MG,LUMA - A,704,X04,55.79,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2001,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1702,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,405,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,606,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1902,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,902,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1202,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,201,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1005,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1406,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1306,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1305,DPTO 205 AL 2105,61.16,dormitorios
URBANA,ALLEGRO,801,,62.49,vista
IMAGINA,CONCEPTO OCEAN BREATH,1302,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,702,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2005,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,701,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,601,DPTO 201 AL 2101,65.53,dormitorios
GRUPO T&C,COSTANOVA,901,TIPO 1 (201-2201),2026-12-27 00:00:00,area
URBANA,ALLEGRO,1101,,62.49,vista
GRUPO MG,ALBORADA I - A,307,X07,73.5,dormitorios
GRUPO T&C,COSTANOVA,1019,TIPO 19 (219-2219),2026-08-23 00:00:00,area
URBANA,ALLEGRO,104,,59.6,vista
IMAGINA,CONCEPTO OCEAN BREATH,1801,DPTO 201 AL 2101,65.53,dormitorios
GRUPO MG,LUMA - A,214,X14,51.38,dormitorios
GRUPO MG,LUMA - A,215,X15,50.96,dormitorios
GRUPO MG,LUMA - A,306,X06,53.05,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1805,DPTO 205 AL 2105,61.16,dormitorios
GRUPO MG,LUMA - A,406,X06,53.05,dormitorios
GRUPO T&C,COSTANOVA,1901,TIPO 1 (201-2201),2026-12-27 00:00:00,area
IMAGINA,CONCEPTO OCEAN BREATH,1802,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1709,DPTO 309 AL 2109,78.07,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1705,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1609,DPTO 309 AL 2109,78.07,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1402,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,306,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,502,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,602,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1601,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1101,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1002,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2006,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1105,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1809,DPTO 309 AL 2109,78.07,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1409,DPTO 309 AL 2109,78.07,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1701,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1602,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1506,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1501,DPTO 201 AL 2101,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1401,DPTO 201 AL 2101,65.53,dormitorios
