DISTRITO,DESARROLLADORA,PROYECTO,N INMUEBLE,MODELO,AREA TECHADA,AREA LIBRE,AREA TOTAL,VISTA,DORMITORIOS,MONEDA,PRECIO,F ENTREGA,VIS,CUOTA,BANCO,TIPO,ORIGEN
Surquillo,MARCAN,TIME ARAMBURÚ,404,OFICINA,35.54,0.0,35.54,Externa,0,0,485000.0,Feb-27,-1,3927,BCP,1,hoja1
Surquillo,GRATTO INMOBILIARIA,ARAMBURÚ 934,810,X10,37.58,0.0,37.58,Interna,1,0,315000.0,Dic-27,1,2551,BCP,0,hoja1
Surquillo,MARCAN,TIME ARAMBURÚ,805,OFICINA,37.57,0.0,37.57,Externa,0,0,512000.0,Feb-27,-1,4146,BCP,1,hoja1
Surquillo,AMMA,TORRE MARSANO 28,1510,X10,48.97,0.0,48.97,Interna,2,0,358000.0,Feb-28,1,2899,BCP,0,hoja1
Surquillo,MARCAN,TIME ARAMBURÚ,410,OFICINA,76.86,0.0,76.86,Esquina,0,0,882000.0,Feb-27,-1,7142,BCP,1,hoja1
Surquillo,GRATTO INMOBILIARIA,ARAMBURÚ 934,903,X03,60.85,0.0,60.85,Externa,2,0,511000.0,Dic-27,1,4138,BCP,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,701,X01,70.1,0.0,70.1,Externa,3,0,461000.0,Feb-28,1,3733,BCP,0,hoja1
Surquillo,V&V,GERMANIA,1006,P6-P10-P14-X06,53.5,0.0,53.5,Externa,2,0,443000.0,Dic-27,0,3587,Fideicomiso,0,hoja1
Surquillo,GRATTO INMOBILIARIA,ARAMBURÚ 934,1801,X01,57.36,0.0,57.36,Externa,2,0,473000.0,Dic-27,1,3830,BCP,0,hoja1
Surquillo,GRUPO LAR,DISTRITO 34,503,B-503,63.61,4.46,68.07,Externa,2.5,0,551500.0,INMEDIATA,0,4466,BCP,0,hoja1
Surquillo,FRONTERA,MARSANO 2669,1602,BX02 (VIS),53.9,0.0,53.9,Externa,2,0,395000.0,Dic-28,-1,3199,BBVA,0,hoja1
Surquillo,V&V,GERMANIA,1506,P7-P11-P15-X06,53.5,0.0,53.5,Externa,2,0,448000.0,Dic-27,0,3628,Fideicomiso,0,hoja1
Surquillo,V&V,GERMANIA,307,P3-X07,52.7,0.0,52.7,Externa,2,0,441000.0,Dic-27,0,3571,Fideicomiso,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,1301,X01,69.66,0.0,69.66,Externa,3,0,432000.0,Feb-28,1,3498,BCP,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,911,X11,51.1,0.0,51.1,Interna,2,0,375000.0,Feb-28,1,3037,BCP,0,hoja1
Surquillo,GRUPO MG,DANAUS,501,X01,51.7,0.0,51.7,Interna,2,0,386000.0,Ago-28,-1,3126,BCP,0,hoja1
Surquillo,FRONTERA,MARSANO 2669,1704,AX04-I (VIS),40.92,4.22,45.14,Interna,1,0,272000.0,Dic-28,-1,2203,BBVA,0,hoja1
Surquillo,EDIFICA,ELEMENT,2105,TIPO 5B (VIS),39.87,0.0,39.87,Externa,1,0,375457.0,Ene-27,1,3040,Scotiabank,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,708,X08,37.23,0.0,37.23,Interna,1,0,302000.0,Feb-28,1,2445,BCP,0,hoja1
Surquillo,GRUPO MG,DANAUS,1103,X03,53.0,0.0,53.0,Externa,2,0,379000.0,Ago-28,-1,3069,BCP,0,hoja1
Surquillo,GRUPO MG,DANAUS,2307,X07,43.9,0.0,43.9,Externa,1,0,299000.0,Ago-28,-1,2421,BCP,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,801,X01,70.1,0.0,70.1,Externa,3,0,459000.0,Feb-28,1,3717,BCP,0,hoja1
Surquillo,V&V,GERMANIA,705,P7-P11-P15-X05,68.2,0.0,68.2,Externa,3,0,562000.0,Dic-27,0,4551,Fideicomiso,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,1105,X05,63.87,0.0,63.87,Externa,3,0,434000.0,Feb-28,1,3514,BCP,0,hoja1
Surquillo,FRONTERA,MARSANO 2669,1801,AX01 (VIS),55.59,0.0,55.59,Externa,2,0,408000.0,Dic-28,-1,3304,BBVA,0,hoja1
Surquillo,GRUPO MG,DANAUS,1210,X10,63.85,0.0,80.35,Interna,3,0,560000.0,Ago-28,-1,4535,BCP,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,2812,X12,28.14,0.0,28.14,Interna,0,0,280000.0,Feb-28,1,2267,BCP,0,hoja1
Surquillo,GRATTO INMOBILIARIA,ARAMBURÚ 934,1703,X03,60.97,0.0,60.97,Externa,2,0,505000.0,Dic-27,1,4089,BCP,0,hoja1
Surquillo,GRUPO MG,DANAUS,1602,X02,43.55,0.0,43.55,Externa,1,0,305000.0,Ago-28,-1,2470,BCP,0,hoja1
Surquillo,GRATTO INMOBILIARIA,ARAMBURÚ 934,104,X104,37.63,3.57,41.2,Interna,1,0,335000.0,Dic-27,1,2713,BCP,0,hoja1
Surquillo,GRATTO INMOBILIARIA,ARAMBURÚ 934,505,X05,39.96,0.0,39.96,Externa,1,0,360000.0,Dic-27,1,2915,BCP,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,1003,X03,63.02,0.0,63.02,Externa,3,0,443000.0,Feb-28,1,3587,BCP,0,hoja1
Surquillo,V&V,GERMANIA,2704,P27-X04,70.6,0.0,70.6,Externa,3,0,589000.0,Dic-27,0,4769,Fideicomiso,0,hoja1
Surquillo,MARCAN,TIME ARAMBURÚ,812,OFICINA,52.56,0.0,52.56,Externa,0,0,585000.0,Feb-27,-1,4737,BCP,1,hoja1
Surquillo,GRUPO MG,DANAUS,2601,X01,48.0,0.0,48.0,Interna,2,0,316000.0,Ago-28,-1,2559,BCP,0,hoja1
Surquillo,FRONTERA,MARSANO 2669,2002,CX02 (VIS),44.35,0.0,44.35,Externa,1,0,295000.0,Dic-28,-1,2389,BBVA,0,hoja1
Surquillo,FRONTERA,MARSANO 2669,804,AX04-P (VIS),40.92,0.0,40.92,Interna,1,0,316000.0,Dic-28,-1,2559,BBVA,0,hoja1
Surquillo,FRONTERA,MARSANO 2669,904,AX04-I (VIS),40.92,4.22,45.14,Interna,1,0,332000.0,Dic-28,-1,2688,BBVA,0,hoja1
Surquillo,FRONTERA,MARSANO 2669,1705,AX05-I (VIS),40.52,4.22,44.74,Interna,1,0,268000.0,Dic-28,-1,2170,BBVA,0,hoja1
Surquillo,EDIFICA,ELEMENT,2108,TIPO 17A,57.22,0.0,57.22,Externa,1,0,497030.0,Ene-27,1,4025,Scotiabank,0,hoja1
Surquillo,ALBAMAR,OASIS,1106,F,74.38,73.2,147.58,Interna,3,0,618500.0,Nov-26,0,5008,Fideicomiso,0,hoja1
Surquillo,V&V,GERMANIA,1712,P5-P9-P13-P17-X12,56.8,0.0,56.8,Interna,2,0,408000.0,Dic-27,0,3304,Fideicomiso,0,hoja1
Surquillo,GRUPO MG,DANAUS,2208,X08,43.7,0.0,43.7,Externa,1,0,298000.0,Ago-28,-1,2413,BCP,0,hoja1
Surquillo,GRUPO MG,DANAUS,2608,X08,43.7,0.0,43.7,Externa,1,0,293000.0,Ago-28,-1,2373,BCP,0,hoja1
Surquillo,V&V,GERMANIA,1312,P5-P9-P13-P17-X12,56.8,0.0,56.8,Interna,2,0,403000.0,Dic-27,0,3263,Fideicomiso,0,hoja1
Surquillo,AMMA,TORRE MARSANO 28,2108,X08,36.83,0.0,36.83,Interna,1,0,279000.0,Feb-28,1,2259,BCP,0,hoja1
Surquillo,GRATTO INMOBILIARIA,ARAMBURÚ 934,1109,X09,26.16,0.0,26.16,Interna,1,0,222000.0,Dic-27,1,1798,BCP,0,hoja1
